 
 =================================================
      AMS 260 - CFD, 1D Euler FVM Code            
       Written by Prof. Dongwook Lee              
            Winter Quarter, 2015                  
 =================================================
 
 
        Initial condition was written!            
 =================================================
    Steps      Time              dt               
   705      1.32338731       0.00186755
   706      1.32525385       0.00186655
   707      1.32712016       0.00186631
   708      1.32898525       0.00186509
   709      1.33084996       0.00186471
   710      1.33271396       0.00186400
   711      1.33457736       0.00186340
   712      1.33644056       0.00186320
   713      1.33830296       0.00186240
   714      1.34016538       0.00186243
   715      1.34202697       0.00186158
   716      1.34388839       0.00186142
   717      1.34574934       0.00186095
   718      1.34760993       0.00186059
   719      1.34947046       0.00186053
   720      1.35133044       0.00185998
   721      1.35319068       0.00186025
   722      1.35505025       0.00185957
   723      1.35690989       0.00185964
   724      1.35876918       0.00185929
   725      1.36062836       0.00185918
   726      1.36248730       0.00185893
   727      1.36434599       0.00185869
   728      1.36620409       0.00185811
   729      1.36806171       0.00185761
   730      1.36991817       0.00185646
   731      1.37177360       0.00185543
   732      1.37362777       0.00185417
   733      1.37548135       0.00185358
   734      1.37733341       0.00185206
   735      1.37918477       0.00185136
   736      1.38103596       0.00185119
   737      1.38288608       0.00185012
   738      1.38471385       0.00182777
   739      1.38652877       0.00181493
   740      1.38837871       0.00184994
   741      1.39022882       0.00185011
   742      1.39207992       0.00185110
   743      1.39393111       0.00185119
   744      1.39578300       0.00185189
   745      1.39763531       0.00185231
   746      1.39948784       0.00185253
   747      1.40133072       0.00184288
   748      1.40317422       0.00184350
   749      1.40502257       0.00184835
   750      1.40686567       0.00184309
   751      1.40870663       0.00184097
   752      1.41054833       0.00184170
   753      1.41239360       0.00184526
   754      1.41423980       0.00184620
   755      1.41607277       0.00183297
   756      1.41791352       0.00184075
   757      1.41974943       0.00183592
   758      1.42156341       0.00181398
   759      1.42339907       0.00183566
   760      1.42523971       0.00184064
   761      1.42709105       0.00185134
   762      1.42894308       0.00185203
   763      1.43079658       0.00185350
   764      1.43264622       0.00184965
   765      1.43448541       0.00183919
   766      1.43633494       0.00184953
   767      1.43819045       0.00185551
   768      1.44004717       0.00185672
   769      1.44190341       0.00185624
   770      1.44375718       0.00185377
   771      1.44561494       0.00185777
   772      1.44747257       0.00185763
   773      1.44933129       0.00185871
   774      1.45119152       0.00186023
   775      1.45305316       0.00186164
   776      1.45491595       0.00186279
   777      1.45678065       0.00186470
   778      1.45864667       0.00186602
   779      1.46051315       0.00186648
   780      1.46237901       0.00186586
   781      1.46424509       0.00186609
   782      1.46611225       0.00186716
   783      1.46798012       0.00186787
   784      1.46984847       0.00186835
   785      1.47171814       0.00186967
   786      1.47358966       0.00187152
   787      1.47546218       0.00187252
   788      1.47733565       0.00187347
   789      1.47920964       0.00187399
   790      1.48108429       0.00187465
   791      1.48295917       0.00187488
   792      1.48483352       0.00187434
   793      1.48670691       0.00187339
   794      1.48858047       0.00187356
   795      1.49045441       0.00187394
   796      1.49232740       0.00187299
   797      1.49419965       0.00187226
   798      1.49607035       0.00187070
   799      1.49794029       0.00186994
   800      1.49980876       0.00186847
   801      1.50167628       0.00186753
   802      1.50354241       0.00186612
   803      1.50540745       0.00186505
   804      1.50727115       0.00186370
   805      1.50913359       0.00186244
   806      1.51099558       0.00186199
   807      1.51285608       0.00186049
   808      1.51471579       0.00185971
   809      1.51657559       0.00185980
   810      1.51843491       0.00185932
   811      1.52029387       0.00185896
   812      1.52215336       0.00185949
   813      1.52401334       0.00185998
   814      1.52587347       0.00186012
   815      1.52773462       0.00186115
   816      1.52959627       0.00186165
   817      1.53145839       0.00186212
   818      1.53331990       0.00186151
   819      1.53518040       0.00186050
   820      1.53703936       0.00185897
   821      1.53889706       0.00185770
   822      1.54075307       0.00185601
   823      1.54260814       0.00185507
   824      1.54446188       0.00185374
   825      1.54631436       0.00185249
   826      1.54816640       0.00185204
   827      1.55001789       0.00185149
   828      1.55186853       0.00185064
   829      1.55371915       0.00185062
   830      1.55557023       0.00185109
   831      1.55742091       0.00185067
   832      1.55927202       0.00185111
   833      1.56112375       0.00185173
   834      1.56297569       0.00185194
